video_title,video_id,comment_id,comment_date,updated_date,commenter_url,commenter_name,like_count,top_level_comment_num,top_level_comment,comment_reply
"""First Presidential Debate""",855Am6ovK7s,z12vibfhmojxzx5zx04cdhwalkiif5db5qw0k,2016-10-28T19:51:38.000Z,2016-10-28T19:51:38.000Z,http://www.youtube.com/channel/UCUouplR4DGDf263c5BKGl-Q,Vinh Pham,1,409,"i wish Hillary Clinton to be President and help my country for the freedoom 
speech. and Human rights in Vietnam. please Mrs.Hillary﻿", - 
"""First Presidential Debate""",855Am6ovK7s,z12kxpz5eurzjjsci23gtnpzfmencrkgj04,2016-10-31T15:18:18.000Z,2016-10-31T15:18:18.000Z,http://www.youtube.com/channel/UCAZ_vJUxIOan_WzNv2uVzqQ,Shehryar Plays SPYT,2,410,Going with clinton﻿, - 
"""First Presidential Debate""",855Am6ovK7s,z12svxaa2vypidfsp23mtr3qktbli5jf1,2016-10-30T22:26:30.000Z,2016-10-30T22:26:30.000Z,http://www.youtube.com/channel/UCE5Rs6z3IFYURm2hS__7l2A,TheJwang8000,1,411,#Hillaryforpresident #Imwithher﻿, - 
"""First Presidential Debate""",855Am6ovK7s,z12wczhwnuucux0ww04cgvegcv2dct4jolg0k,2016-11-27T10:39:43.000Z,2016-11-27T10:39:43.000Z,http://www.youtube.com/channel/UCYXGTWpEj3iHH3qADPEERgA,Ari Stamas,0,412,man i just saw a hot asian﻿, - 
"""First Presidential Debate""",855Am6ovK7s,z12ognva2mfmxvqoj04cjnn5eqmwwzlv3,2016-10-31T07:56:05.000Z,2016-10-31T07:56:05.000Z,http://www.youtube.com/channel/UCDhBUfORQtk_Cn1G-qPJbow,sin ki Ip,1,413,They should just turn off the mic every 2 minutes :/﻿, - 
"""First Presidential Debate""",855Am6ovK7s,z13pfx0xhuzdypike22fzjdhtpnfytvmt,2016-11-01T22:56:01.000Z,2016-11-01T23:01:42.000Z,http://www.youtube.com/channel/UCpfcWzV1UqOpm5CwHH3OiHA,C Ja,1,414,"O! Boss Lady killed it at the closing of that racism... That "" I'm prepare 
to be President "" was very well timed.﻿", - 
"""First Presidential Debate""",855Am6ovK7s,z12rxzkwmnniytx3b22vyrogyxqhzlftu,2016-10-30T15:46:04.000Z,2016-10-30T15:46:04.000Z,http://www.youtube.com/channel/UCW6GbU5aKts9789KhDS0LqA,Mckenna Matson,0,415,"I hope that people didn't vote for Hillary because she would be the first 
female president.﻿", - 
"""First Presidential Debate""",855Am6ovK7s,z122dnn4rzayc5bhc04citlajsqevzrobcc,2016-11-02T02:33:43.000Z,2016-11-02T02:33:43.000Z,http://www.youtube.com/channel/UCW_RFtEjstkyYQyjCas5c7w,ExposingZionistEvil,1,416,"Donna Brazile had questions to the first two debates, TOO, but not the 
third, and it was obvious.﻿", - 
"""First Presidential Debate""",855Am6ovK7s,z12owdtjcyn3ydn4b04cfbmhcwjsfrbqv24,2016-11-04T03:30:04.000Z,2016-11-04T03:30:04.000Z,http://www.youtube.com/channel/UCqGmU4nOisn3GTEZW942FPw,Jen Reports,4,417,"lol what a joke... black men are imprisoned in record numbers because of 
the toughest drug laws in the country passed by Hillary and her KKK husband﻿", - 
"""First Presidential Debate""",855Am6ovK7s,z12azpbzcr3ch3kje04cc5groyu5evxr4lo0k,2016-11-01T16:28:52.000Z,2016-11-01T16:28:52.000Z,http://www.youtube.com/channel/UCx73yKIl6SCIFXrZ2yu5_3A,MusicLyrics,2,418,Luckily I live in the united kingdom :P﻿, - 
"""First Presidential Debate""",855Am6ovK7s,z13ugl4rdlf4zp3cd22nj5lx1xnoftir504,2016-10-29T04:21:07.000Z,2016-10-29T04:21:07.000Z,http://www.youtube.com/channel/UCggNJ5Z2f1bw3v0b-bH7Stg,Lisa Cartwheel,0,419,"why does she bother wearing heels
it looks like lester is always trying to refrain from grinning﻿", - 
"""First Presidential Debate""",855Am6ovK7s,z12bftirpljyzbz0v23kt3yq3vfuf3yih04,2016-10-30T02:46:03.000Z,2016-10-30T02:46:03.000Z,http://www.youtube.com/channel/UCB2eYlkd65wRUP0eyxqTbFA,knock rip,1,420,I just don't believe him ):-/﻿, - 
"""First Presidential Debate""",855Am6ovK7s,z13sj5mh4nvzvzh1o22njnvyiszasfslr,2016-10-31T18:09:46.000Z,2016-10-31T18:09:46.000Z,http://www.youtube.com/channel/UCGnDTinIavXoYudG9SB9Ecg,steven woods,1,421,"hello homosapiens i am from your distant future i am here to tell you none 
of this matters﻿", - 
