video_title,video_id,comment_id,comment_date,updated_date,commenter_url,commenter_name,like_count,top_level_comment_num,top_level_comment,comment_reply
"""Second Presidential Debate""",FRlI2SQ0Ueg,z13svp3xtyugetlgy04cgnzqckefz34welg0k,2016-11-09T01:14:48.000Z,2016-11-09T01:14:48.000Z,http://www.youtube.com/channel/UCC0819iheAhJAvC1QGtCYwQ,Olga Garcia,0,1077,boooo donlod trup who with me﻿, - 
"""Second Presidential Debate""",FRlI2SQ0Ueg,z13rypfavkyzihv2d22rdfdbquejtv335,2016-10-31T15:29:42.000Z,2016-10-31T15:29:42.000Z,http://www.youtube.com/channel/UChMVPwbC3gH__kxR_Kv0NxA,lalita govinda,0,1078,this women will be the prefect for us presidency﻿, - 
"""Second Presidential Debate""",FRlI2SQ0Ueg,z12bcbfakzj0gzfo504cfp5gnrfajfgxyis,2016-11-05T04:11:18.000Z,2016-11-05T04:11:18.000Z,http://www.youtube.com/channel/UCSjJMmqI2YbrQTw7RORDiXw,Amanda Brieno,0,1079,"That is embarrassing that they lay each others faults out on the table,  
just to try to win the presidency﻿", - 
"""Second Presidential Debate""",FRlI2SQ0Ueg,z13bwbkwfmn5tbni204ch10axkzcgxobcgc,2016-10-25T16:33:23.000Z,2016-10-25T16:33:23.000Z,http://www.youtube.com/channel/UCfoFDbhCWNXdmVtj2vFRAVA,Nicklas Ratzka,0,1080,"I am just waiting for Snoop Dogg getting President in 4 years. He would be 
the best President ever.﻿", - 
"""Second Presidential Debate""",FRlI2SQ0Ueg,z12gereqjqityrnph04cixobapazetmy154,2016-11-13T00:41:10.000Z,2016-11-13T00:41:10.000Z,http://www.youtube.com/channel/UCv4R3vW-1EN6Prly18awZjw,Dj Stalvey,0,1081,Hillery Clinton lock her up and going to jail﻿, - 
"""Second Presidential Debate""",FRlI2SQ0Ueg,z120drlq4oqayrkmi23nsvqijmrpdnwua,2016-11-05T10:50:21.000Z,2016-11-05T10:50:21.000Z,http://www.youtube.com/channel/UCtXjzy99V6mO5gUZ5n5MGNg,Rob Southland,0,1082,"Why are Trump supporters (tax money) having to pay for obama and his wife 
and the Vice President to campaign for hillary??? The president should be 
doing his elected job, Not running around the country campaigning for 
Hillary and wasting Hundreds of Thousands of Dollars in the Process!!!!﻿", - 
"""Second Presidential Debate""",FRlI2SQ0Ueg,z13tudsyimigi1od023jttyymnvfftlib04,2016-10-26T10:41:02.000Z,2016-10-26T10:41:02.000Z,http://www.youtube.com/channel/UCT-PynYqdthTrPf7vmGr0wg,‫شمخر ال شمر‬‎,0,1083,Gooooooood trump.﻿, - 
"""Second Presidential Debate""",FRlI2SQ0Ueg,z12vhnnyjtvtyfl1q23nxboirzuevtrj004,2016-11-09T22:51:09.000Z,2016-11-09T22:51:09.000Z,http://www.youtube.com/channel/UC5Cd6iaTmmjvVwwlnPOyHgg,Black Cat,4,1084,"Trump speaks the truth and as we all know, nobody likes or appreciates the 
truth....#Trump2016﻿", - 
"""Second Presidential Debate""",FRlI2SQ0Ueg,z13mjd3gkwzfsnlow04ch1g5jwr5ynbwbj4,2016-10-25T22:37:38.000Z,2016-10-25T22:37:38.000Z,http://www.youtube.com/channel/UCohc_4DybrRzuoxn0b8NNPA,fish gaming (it'll go swimmingly!),0,1085,OHHHHHHHHHHHHHHH SHE NEEDS SOME ICE FOR THAT BURN﻿, - 
"""Second Presidential Debate""",FRlI2SQ0Ueg,z13ehdcomrybwp0y404cit3yxpz3t1zzvc4,2016-10-30T04:25:41.000Z,2016-10-30T04:25:41.000Z,http://www.youtube.com/channel/UCRhL6aGArplaylyVm6tCKrA,Jtown 90,0,1086,"they literally asked her about the emails the question after trumps video 
yet he denies they even brought it up. again a moron﻿", - 
